,,omega,omegaProp,psi,psiAvgProp
81a04e1c0fa2dd59eee2f339b73fa3a13c97f5aa7ed7b17fdcd3f421c9c4e831,,1.0,0.000474833808167,4.0,0.0701754385965
e087c8c14c2d9e654fcec9f8ed498afaecba57dff50b8fc34fbca64dda403122,,1.0,0.000474833808167,5.0,0.0877192982456
9f9351a061febeea05cc486ac7a586b4f0a17104cba22e624057147c29f11642,,3.0,0.0014245014245,20.0,0.116959064327
a36a659f9081e133181ca4078f5b3e8d0729e310038bda6b2164fe81a6679b3a,,191.0,0.0906932573599,529.0,0.0485900615413
527e3b5de28ff643b1a8ece32fb4e828389f052a0eb3b304a9d698e5d3a0e858,,5.0,0.00237416904084,21.0,0.0736842105263
a48372462a6b99b2ea4ea8bbffbdf14904ed3a938c73cc3fde27f1f93a1ed2d6,,8.0,0.00379867046534,19.0,0.0416666666667
351f86d8a6a7573aa2b70708c7c32a0f3af10b801dd5e3bc74c7f942df429761,,1.0,0.000474833808167,4.0,0.0701754385965
18bdb0eaa130fcbc91b8e497cc4d352ad2d9735ec390cfc5e0d7e895f2acaee4,,22.0,0.0104463437797,247.0,0.19696969697
227a6a4cc0238a2da8552d36057c20a28dc63c913d0ee766753cb0207039d682,,40.0,0.0189933523267,220.0,0.0964912280702
1a58bdce59f244bbb1069d04452e92137f591a5bd63f0a800623ebc1c5e9ec7d,,4.0,0.00189933523267,47.0,0.206140350877
5251f370458cd8c372bf87ba25b528204b3df288a901b14c3cdf7f19eb53a440,,0.0,0.0,0.0,0.0
6d287b685bdc6860feee42ed9098a3d52e21a77fd42ec66234808416bfa4c904,,0.0,0.0,0.494,0.494
15e13e06f12d9a172caf096c97304aac19aa47959032530a33b678fcd966b882,,0.0,0.0,0.888,0.888
b5793f60fbb0285a24863984fbf9e01df26955dfc9461178364f7028d560aa65,,0.0,0.0,1.0,1.0
770722861bfb77c266445ddf42d47dd5a0be571ab865ee93e2b33108621c691a,,0.0,0.0,0.0,0.0
41285ac32d16f970a97c17aeb4d83e70944fd3f2f08790dfd8beb21ed8804f33,,0.0,0.0,0.0,0.0
d8122a4b612c139ee9c70527ea21ca34dbf61a540c609cbf8c7631b612d534e2,,0.0,0.0,0.0,0.0
09f069cb46813fa69745ebd6fd4d6db0fd415df23b89eba2567f47465d3c675b,,0.0,0.0,0.967,0.967
fb97f51ca70dc34f22fe5b9b9395d5d2f33764b2bc17b90bb52c3420bd8bb5b6,,0.0,0.0,0.139,0.139
d34a577c98a63bae0e54f29c8b6b611901e8d3c62ad13b619fc09baf6c033e32,,0.0,0.0,0.636,0.636
b30dfc3bc98dd0e8d1597b15089bb180d7703dcc4fc41c2ac5d2b0112e5f82cd,,0.0,0.0,0.74,0.74
979cded1b235373c6d30bb43c068a580b5e087f8aedb183309142535093fb091,,0.0,0.0,1.0,1.0
d559ed90a181876d4e7e469e43fc51a73b9a78467233b717ee2637f09211d31b,,0.0,0.0,0.0,0.0
4a34981c4e3f0f7e78f170c24df8e11ca76fd95df3bae72e1042d66bbb7cce98,,0.0,0.0,0.0,0.0
f57f0e1757ae3e0a2da3c8e4a4cc347bab9e044274ef1714516e3bf1da2db186,,0.0,0.0,1.0,1.0
d223552b69f1eb716bd080ce30576d42a47d3a62924156fcb7e10f1c43f8536a,,0.0,0.0,1.0,1.0
16604f04473b3d670ae24b60d9594929679cfe2bb8a09e8845337f76181e35d9,,0.0,0.0,0.886,0.886
258a047004441fc08fdae0f7656a5ee9f02703b102402ba3090bcc780983203d,,0.0,0.0,0.0,0.0
2d2e2f50e9fd80c38735e38d1483645c0a57763d4acfdde0dff8b7b6eb108ea9,,0.0,0.0,0.628,0.628
513d7a90204c5c1117723034e6b55e93c84eb1aa81f292e5d1dc7931d226e7de,,0.0,0.0,0.0,0.0
9d241d7109eb9f9d5c9a4435754096bb729993bdae89809183959df4ab728619,,0.0,0.0,0.0,0.0
42c09b4822c360dcf73b974a71aaa3fdff0ee271c7577425a5d309660dfe617d,,0.0,0.0,1.0,1.0
86915ccebfd160072d9b80ddd43a53789a8f45c2abaf45d96a2e7cc5a5d67ea6,,0.0,0.0,0.312,0.312
ef3f0ef45c2faedfabbfaf2961b62e8a91170ff13e4055d4eb06b7a25010f04b,,0.0,0.0,0.026,0.026
70b7cf8f2d7804c2cdb86bed383a6a83aa99b5157704886d2bf27f62bea113b4,,0.0,0.0,1.0,1.0
de2cff7ec0fa1cae8fa548276163a72c73cf79bf2531c8e18e6edae3a6e3811b,,0.0,0.0,0.0,0.0
